dataset,f1_score,recall_minority,precision_recall_auc,balanced_accuracy
dataset_1004_synthetic_control.csv,1.0,1.0,0.967741935483871,1.0
dataset_1013_analcatdata_challenger.csv,1.0,1.0,,1.0
dataset_1023_soybean.csv,0.886855241264559,0.625,0.931813504045513,0.8125
dataset_1045_kc1-top5.csv,0.4880952380952381,0.0,0.1799450549450549,0.5
dataset_1059_ar1.csv,0.4857142857142857,0.0,0.163095238095238,0.5
dataset_1061_ar4.csv,0.679355642918784,0.2857142857142857,0.4728948528209611,0.6228571428571428
dataset_1064_ar6.csv,0.4339622641509434,0.0,0.3735820472809121,0.5
dataset_1065_kc3.csv,0.6649600019894446,0.1538461538461538,0.4286069420607518,0.5728908188585609
dataset_450_analcatdata_lawsuit.csv,0.8554343597354505,0.6666666666666666,0.5423510466988728,0.8264840182648401
dataset_463_backache.csv,0.46,0.0,0.4110323811095135,0.5
dataset_757_meta.csv,0.0867052023121387,1.0,0.9284312728393538,0.5
dataset_764_analcatdata_apnea3.csv,0.7894950588872345,0.4705882352941176,0.9809079230852876,0.7268195413758725
dataset_765_analcatdata_apnea2.csv,0.8916444105303319,0.6521739130434783,0.977666389048868,0.8260869565217391
dataset_767_analcatdata_apnea1.csv,0.8552219212446652,0.7142857142857143,0.9613314142418375,0.8406139315230224
dataset_865_analcatdata_neavote.csv,0.4736842105263158,0.0,0.1210243188184364,0.5
dataset_867_visualizing_livestock.csv,0.7388392857142857,0.5714285714285714,0.946084815593976,0.7388392857142857
dataset_875_analcatdata_chlamydia.csv,0.1891891891891891,1.0,0.7813064713545215,0.5
dataset_940_water-treatment.csv,0.8778652298039579,0.6923076923076923,0.8475226566539933,0.8385780885780886
dataset_947_arsenic-male-bladder.csv,0.8839471855455178,0.6,0.9842783278913464,0.8
dataset_949_arsenic-female-bladder.csv,0.6765154577654579,0.2777777777777778,0.9630787219595228,0.6254660700969426
dataset_950_arsenic-female-lung.csv,0.9306190278354798,0.75,0.9729676655255644,0.875
dataset_951_arsenic-male-lung.csv,1.0,1.0,0.9937888198757764,1.0
dataset_954_spectrometer.csv,0.8338792748197164,0.6428571428571429,0.7757512085315048,0.8110837438423646
dataset_968_analcatdata_birthday.csv,0.4603960396039604,0.0,0.6535934530334251,0.5
dataset_984_analcatdata_draft.csv,0.488262910798122,0.0,0.0457326129340631,0.5
dataset_987_collins.csv,1.0,1.0,0.9583333333333331,1.0
dataset_1000_hypothyroid.csv,0.4814305364511692,0.0,0.9990303865960396,0.5
dataset_1002_ipums_la_98-small.csv,0.4715160075329567,0.0,0.968194043959686,0.5
dataset_1014_analcatdata_dmft.csv,0.4376470588235294,0.0,0.2249734045696062,0.5
dataset_1016_vowel.csv,0.9550680786686838,0.84375,0.9677882339015152,0.921875
dataset_1018_ipums_la_99-small.csv,0.483852140077821,0.0,0.9862709686750024,0.5
dataset_1020_mfeat-karhunen.csv,0.9454366883707396,0.8076923076923077,0.96786972901557,0.903846153846154
dataset_1021_page-blocks.csv,0.9381413664879856,0.8685714285714285,0.998569234454914,0.9291697524848956
dataset_1022_mfeat-pixel.csv,0.984042411723508,0.9423076923076924,0.9807692307692308,0.971153846153846
dataset_1039_hiva_agnostic.csv,0.489738430583501,0.0,0.1050112716327569,0.5
dataset_1049_pc4.csv,0.7153696653272714,0.2711864406779661,0.6640689618586147,0.6289794637252264
dataset_1050_pc3.csv,0.565819032156176,0.1020408163265306,0.2849096401707678,0.5367005990940529
dataset_1056_mc1.csv,0.7040067055777086,0.2222222222222222,0.3147989985687489,0.6107566268856591
dataset_311_oil_spill.csv,0.6846035098236132,0.1818181818181818,0.3963971191086418,0.5890572390572391
dataset_38_sick.csv,0.4861426624261699,0.0,0.9010170602318676,0.5
dataset_958_segment.csv,0.9899928761215296,0.9651162790697676,0.9870184742010436,0.9825581395348836
dataset_962_mfeat-morphological.csv,0.99471789138224,0.9807692307692308,0.965056652163868,0.9903846153846154
dataset_966_analcatdata_halloffame.csv,0.0737327188940092,1.0,0.9098809452052083,0.5
dataset_971_mfeat-fourier.csv,0.9786476868327404,0.9230769230769232,0.9793831168831169,0.9615384615384616
dataset_976_JapaneseVowels.csv,0.9691637408424006,0.9207317073170732,0.989025023695428,0.9581623280175108
dataset_978_mfeat-factors.csv,0.984042411723508,0.9423076923076924,0.9708270745823462,0.971153846153846
dataset_980_optdigits.csv,0.9536440228598362,0.838150289017341,0.9796232477207504,0.9190751445086704
dataset_995_mfeat-zernike.csv,0.9677407792393992,0.8846153846153846,0.956845785530731,0.9423076923076924
