dataset,f1_score,recall_minority,precision_recall_auc,balanced_accuracy,max_depth
dataset_1004_synthetic_control.csv,1.0,1.0,0.967741935483871,1.0,5.0
dataset_1004_synthetic_control.csv,0.9902274824909061,0.967741935483871,0.967741935483871,0.9838709677419355,10.0
dataset_1004_synthetic_control.csv,1.0,1.0,0.967741935483871,1.0,25.0
dataset_1004_synthetic_control.csv,0.9902274824909061,0.967741935483871,0.967741935483871,0.9838709677419355,50.0
dataset_1013_analcatdata_challenger.csv,1.0,1.0,,1.0,5.0
dataset_1013_analcatdata_challenger.csv,1.0,1.0,,1.0,10.0
dataset_1013_analcatdata_challenger.csv,1.0,1.0,,1.0,25.0
dataset_1013_analcatdata_challenger.csv,1.0,1.0,,1.0,50.0
dataset_1023_soybean.csv,0.8732919254658386,0.5833333333333334,0.8039569429845224,0.7916666666666667,5.0
dataset_1023_soybean.csv,0.8579287365701075,0.5833333333333334,0.8787536662323163,0.788888888888889,10.0
dataset_1023_soybean.csv,0.8720672943316464,0.625,0.8198871155004521,0.8097222222222222,25.0
dataset_1023_soybean.csv,0.8720672943316464,0.625,0.8890102981305602,0.8097222222222222,50.0
dataset_1045_kc1-top5.csv,0.6880385946821831,0.5,0.11374999999999999,0.725609756097561,5.0
dataset_1045_kc1-top5.csv,0.4819277108433735,0.0,0.09291666666666668,0.4878048780487805,10.0
dataset_1045_kc1-top5.csv,0.48809523809523814,0.0,0.030416666666666668,0.5,25.0
dataset_1045_kc1-top5.csv,0.8527397260273972,0.5,0.028133903133903133,0.75,50.0
dataset_1059_ar1.csv,0.4857142857142857,0.0,0.3333333333333333,0.5,5.0
dataset_1059_ar1.csv,0.4857142857142857,0.0,0.2875,0.5,10.0
dataset_1059_ar1.csv,0.4857142857142857,0.0,0.3333333333333333,0.5,25.0
dataset_1059_ar1.csv,0.4857142857142857,0.0,0.14027777777777778,0.5,50.0
dataset_1061_ar4.csv,0.6304611160461924,0.2857142857142857,0.34829178757750184,0.6028571428571429,5.0
dataset_1061_ar4.csv,0.679355642918784,0.2857142857142857,0.4903473989065122,0.6228571428571428,10.0
dataset_1061_ar4.csv,0.679355642918784,0.2857142857142857,0.3628826678703526,0.6228571428571428,25.0
dataset_1061_ar4.csv,0.6635483069790545,0.42857142857142855,0.5008581593556963,0.6542857142857142,50.0
dataset_1064_ar6.csv,0.43396226415094347,0.0,0.33194128258167666,0.5,5.0
dataset_1064_ar6.csv,0.7536945812807881,0.2857142857142857,0.40862925680017137,0.6428571428571428,10.0
dataset_1064_ar6.csv,0.4230769230769231,0.0,0.33006405530106087,0.4782608695652174,25.0
dataset_1064_ar6.csv,0.43396226415094347,0.0,0.35184117125110914,0.5,50.0
dataset_1065_kc3.csv,0.47509578544061304,0.0,0.28295240198588273,0.5,5.0
dataset_1065_kc3.csv,0.631104595972135,0.15384615384615385,0.2951685560103286,0.5688585607940446,10.0
dataset_1065_kc3.csv,0.6081841275841176,0.07692307692307693,0.28679329128640774,0.5344292803970223,25.0
dataset_1065_kc3.csv,0.7142593367501345,0.3076923076923077,0.3731394404435857,0.6457816377171216,50.0
dataset_450_analcatdata_lawsuit.csv,0.8554343597354505,0.6666666666666666,0.530019493177388,0.8264840182648401,5.0
dataset_450_analcatdata_lawsuit.csv,0.8554343597354505,0.6666666666666666,0.5716861598440546,0.8264840182648401,10.0
dataset_450_analcatdata_lawsuit.csv,0.8554343597354505,0.6666666666666666,0.5994639376218324,0.8264840182648401,25.0
dataset_450_analcatdata_lawsuit.csv,0.8554343597354505,0.6666666666666666,0.5716861598440546,0.8264840182648401,50.0
dataset_463_backache.csv,0.46,0.0,0.15966209448538668,0.5,5.0
dataset_463_backache.csv,0.46,0.0,0.2788524736507403,0.5,10.0
dataset_463_backache.csv,0.46,0.0,0.16905783368379276,0.5,25.0
dataset_463_backache.csv,0.46,0.0,0.289681461352657,0.5,50.0
dataset_757_meta.csv,0.08670520231213873,1.0,0.9284312728393538,0.5,5.0
dataset_757_meta.csv,0.08670520231213873,1.0,0.9284312728393538,0.5,10.0
dataset_757_meta.csv,0.08670520231213873,1.0,0.9284312728393538,0.5,25.0
dataset_757_meta.csv,0.08670520231213873,1.0,0.9284312728393538,0.5,50.0
dataset_764_analcatdata_apnea3.csv,0.7927714205972649,0.35294117647058826,0.9774674083032545,0.6764705882352942,5.0
dataset_764_analcatdata_apnea3.csv,0.7555178676995755,0.47058823529411764,0.9837474688345613,0.7183449651046859,10.0
dataset_764_analcatdata_apnea3.csv,0.7927714205972649,0.35294117647058826,0.9600400802375775,0.6764705882352942,25.0
dataset_764_analcatdata_apnea3.csv,0.7894950588872345,0.47058823529411764,0.9610802039227606,0.7268195413758725,50.0
dataset_765_analcatdata_apnea2.csv,0.8177510119458977,0.43478260869565216,0.9799390490082843,0.717391304347826,5.0
dataset_765_analcatdata_apnea2.csv,0.8916444105303319,0.6521739130434783,0.9815776555503691,0.8260869565217391,10.0
dataset_765_analcatdata_apnea2.csv,0.8916444105303319,0.6521739130434783,0.9882982686816782,0.8260869565217391,25.0
dataset_765_analcatdata_apnea2.csv,0.9057730590577306,0.6956521739130435,0.9782508814813229,0.8478260869565217,50.0
dataset_767_analcatdata_apnea1.csv,0.8339181286549708,0.47619047619047616,0.9685471266655405,0.7380952380952381,5.0
dataset_767_analcatdata_apnea1.csv,0.8719005856769134,0.7619047619047619,0.9668544042638818,0.8644234553325463,10.0
dataset_767_analcatdata_apnea1.csv,0.8653301132541547,0.6666666666666666,0.9773918430683588,0.8250688705234159,25.0
dataset_767_analcatdata_apnea1.csv,0.8339181286549708,0.47619047619047616,0.9661990747584724,0.7380952380952381,50.0
dataset_865_analcatdata_neavote.csv,0.4736842105263158,0.0,0.15356125356125355,0.5,5.0
dataset_865_analcatdata_neavote.csv,0.4736842105263158,0.0,0.12213309566250743,0.5,10.0
dataset_865_analcatdata_neavote.csv,0.4736842105263158,0.0,0.15356125356125355,0.5,25.0
dataset_865_analcatdata_neavote.csv,0.4736842105263158,0.0,0.1038936159625815,0.5,50.0
dataset_867_visualizing_livestock.csv,0.4507042253521127,0.0,0.951007576472913,0.5,5.0
dataset_867_visualizing_livestock.csv,0.7388392857142857,0.5714285714285714,0.844555245427375,0.7388392857142857,10.0
dataset_867_visualizing_livestock.csv,0.7708095781071835,0.5714285714285714,0.933383106146704,0.7544642857142857,25.0
dataset_867_visualizing_livestock.csv,0.4507042253521127,0.0,0.8762896170331159,0.5,50.0
dataset_875_analcatdata_chlamydia.csv,0.18918918918918917,1.0,0.7813064713545215,0.5,5.0
dataset_875_analcatdata_chlamydia.csv,0.18918918918918917,1.0,0.7813064713545215,0.5,10.0
dataset_875_analcatdata_chlamydia.csv,0.18918918918918917,1.0,0.7813064713545215,0.5,25.0
dataset_875_analcatdata_chlamydia.csv,0.18918918918918917,1.0,0.7813064713545215,0.5,50.0
dataset_940_water-treatment.csv,0.7492062426429524,0.3076923076923077,0.5705138679989404,0.6500582750582751,5.0
dataset_940_water-treatment.csv,0.7341365160386328,0.38461538461538464,0.626080870655671,0.6771561771561772,10.0
dataset_940_water-treatment.csv,0.8658796506784333,0.6923076923076923,0.8270605271227119,0.8347902097902098,25.0
dataset_940_water-treatment.csv,0.851185671658223,0.5769230769230769,0.7769504791431238,0.7846736596736597,50.0
dataset_947_arsenic-male-bladder.csv,0.8839471855455178,0.6,0.9631147124963391,0.8,5.0
dataset_947_arsenic-male-bladder.csv,0.8839471855455178,0.6,0.9640335088739023,0.8,10.0
dataset_947_arsenic-male-bladder.csv,0.8265972262958234,0.6,0.9851601631582432,0.7936305732484077,25.0
dataset_947_arsenic-male-bladder.csv,0.8522918783242693,0.6,0.9631147124963391,0.7968152866242038,50.0
dataset_949_arsenic-female-bladder.csv,0.6473342489137601,0.2222222222222222,0.9628286008454746,0.5976882923191649,5.0
dataset_949_arsenic-female-bladder.csv,0.6304978259990621,0.2777777777777778,0.9633150390327145,0.6120432513049963,10.0
dataset_949_arsenic-female-bladder.csv,0.6625439252436525,0.2777777777777778,0.9353180348518361,0.622110365398956,25.0
dataset_949_arsenic-female-bladder.csv,0.6215297810994491,0.2222222222222222,0.9679704422796371,0.5909768829231916,50.0
dataset_950_arsenic-female-lung.csv,0.9306190278354798,0.75,0.9730457889416788,0.875,5.0
dataset_950_arsenic-female-lung.csv,0.9078981439811978,0.875,0.9739801938393249,0.9312106918238994,10.0
