dataset,n_estimators,f1_score,recall_minority,precision_recall_auc,balanced_accuracy
dataset_1004_synthetic_control.csv,10,1.0,1.0,0.967741935483871,1.0
dataset_1004_synthetic_control.csv,50,1.0,1.0,0.967741935483871,1.0
dataset_1004_synthetic_control.csv,100,1.0,1.0,0.967741935483871,1.0
dataset_1004_synthetic_control.csv,200,1.0,1.0,0.967741935483871,1.0
dataset_1013_analcatdata_challenger.csv,10,1.0,1.0,,1.0
dataset_1013_analcatdata_challenger.csv,50,1.0,1.0,,1.0
dataset_1013_analcatdata_challenger.csv,100,1.0,1.0,,1.0
dataset_1013_analcatdata_challenger.csv,200,1.0,1.0,,1.0
dataset_1023_soybean.csv,10,0.886855241264559,0.625,0.9242586949723235,0.8125
dataset_1023_soybean.csv,50,0.886855241264559,0.625,0.910182487195219,0.8125
dataset_1023_soybean.csv,100,0.886855241264559,0.625,0.9316297218509655,0.8125
dataset_1023_soybean.csv,200,0.886855241264559,0.625,0.9240904086865531,0.8125
dataset_1045_kc1-top5.csv,10,0.4819277108433735,0.0,0.09291666666666668,0.4878048780487805
dataset_1045_kc1-top5.csv,50,0.4819277108433735,0.0,0.15313390313390313,0.4878048780487805
dataset_1045_kc1-top5.csv,100,0.7378048780487805,0.5,0.028133903133903133,0.7378048780487805
dataset_1045_kc1-top5.csv,200,0.7378048780487805,0.5,0.026169950738916255,0.7378048780487805
dataset_1059_ar1.csv,10,0.4857142857142857,0.0,0.07777777777777778,0.5
dataset_1059_ar1.csv,50,0.4857142857142857,0.0,0.17559523809523808,0.5
dataset_1059_ar1.csv,100,0.4857142857142857,0.0,0.17559523809523808,0.5
dataset_1059_ar1.csv,200,0.4857142857142857,0.0,0.19583333333333333,0.5
dataset_1061_ar4.csv,10,0.7449417535254446,0.42857142857142855,0.49407814407814404,0.6942857142857143
dataset_1061_ar4.csv,50,0.7449417535254446,0.42857142857142855,0.4521547687901071,0.6942857142857143
dataset_1061_ar4.csv,100,0.679355642918784,0.2857142857142857,0.45086580086580075,0.6228571428571428
dataset_1061_ar4.csv,200,0.679355642918784,0.2857142857142857,0.43616343111684724,0.6228571428571428
dataset_1064_ar6.csv,10,0.43396226415094347,0.0,0.37367842052999467,0.5
dataset_1064_ar6.csv,50,0.43396226415094347,0.0,0.3734891689860634,0.5
dataset_1064_ar6.csv,100,0.43396226415094347,0.0,0.29942917691686166,0.5
dataset_1064_ar6.csv,200,0.43396226415094347,0.0,0.33554104625533193,0.5
dataset_1065_kc3.csv,10,0.6081841275841176,0.07692307692307693,0.48444103745973505,0.5344292803970223
dataset_1065_kc3.csv,50,0.6081841275841176,0.07692307692307693,0.38189230634354737,0.5344292803970223
dataset_1065_kc3.csv,100,0.47307692307692306,0.0,0.40916599558799754,0.4959677419354839
dataset_1065_kc3.csv,200,0.6081841275841176,0.07692307692307693,0.4080678165414607,0.5344292803970223
dataset_450_analcatdata_lawsuit.csv,10,0.7951613594479922,0.5,0.5994639376218324,0.7431506849315068
dataset_450_analcatdata_lawsuit.csv,50,0.8554343597354505,0.6666666666666666,0.6630952380952381,0.8264840182648401
dataset_450_analcatdata_lawsuit.csv,100,0.8554343597354505,0.6666666666666666,0.6298611111111111,0.8264840182648401
dataset_450_analcatdata_lawsuit.csv,200,0.8554343597354505,0.6666666666666666,0.6093434343434343,0.8264840182648401
dataset_463_backache.csv,10,0.702127659574468,0.125,0.3116818744402693,0.5625
dataset_463_backache.csv,50,0.46,0.0,0.28004816203017624,0.5
dataset_463_backache.csv,100,0.46,0.0,0.2815549342947319,0.5
dataset_463_backache.csv,200,0.46,0.0,0.28511765127974376,0.5
dataset_757_meta.csv,10,0.08670520231213873,1.0,0.9284312728393538,0.5
dataset_757_meta.csv,50,0.08670520231213873,1.0,0.9284312728393538,0.5
dataset_757_meta.csv,100,0.08670520231213873,1.0,0.9284312728393538,0.5
dataset_757_meta.csv,200,0.08670520231213873,1.0,0.9284312728393538,0.5
dataset_764_analcatdata_apnea3.csv,10,0.7894950588872345,0.47058823529411764,0.9811683837812932,0.7268195413758725
dataset_764_analcatdata_apnea3.csv,50,0.7894950588872345,0.47058823529411764,0.9846782265292209,0.7268195413758725
dataset_764_analcatdata_apnea3.csv,100,0.7927714205972649,0.35294117647058826,0.9828542892112202,0.6764705882352942
dataset_764_analcatdata_apnea3.csv,200,0.7894950588872345,0.47058823529411764,0.9816597362643092,0.7268195413758725
dataset_765_analcatdata_apnea2.csv,10,0.8916444105303319,0.6521739130434783,0.9761299341581029,0.8260869565217391
dataset_765_analcatdata_apnea2.csv,50,0.8916444105303319,0.6521739130434783,0.979185792032936,0.8260869565217391
dataset_765_analcatdata_apnea2.csv,100,0.9057730590577306,0.6956521739130435,0.9749778882743816,0.8478260869565217
dataset_765_analcatdata_apnea2.csv,200,0.9057730590577306,0.6956521739130435,0.9734487947146826,0.8478260869565217
dataset_767_analcatdata_apnea1.csv,10,0.851192884367937,0.6666666666666666,0.9779982262303857,0.8209366391184573
dataset_767_analcatdata_apnea1.csv,50,0.851192884367937,0.6666666666666666,0.9649389741161842,0.8209366391184573
dataset_767_analcatdata_apnea1.csv,100,0.8679540347479767,0.7142857142857143,0.973213973180049,0.8447461629279811
dataset_767_analcatdata_apnea1.csv,200,0.8679540347479767,0.7142857142857143,0.968707456596229,0.8447461629279811
dataset_865_analcatdata_neavote.csv,10,0.4736842105263158,0.0,0.1724673202614379,0.5
dataset_865_analcatdata_neavote.csv,50,0.4736842105263158,0.0,0.12102431881843648,0.5
dataset_865_analcatdata_neavote.csv,100,0.4736842105263158,0.0,0.12102431881843648,0.5
dataset_865_analcatdata_neavote.csv,200,0.4736842105263158,0.0,0.12102431881843648,0.5
dataset_867_visualizing_livestock.csv,10,0.4507042253521127,0.0,0.9211692021992184,0.5
dataset_867_visualizing_livestock.csv,50,0.4507042253521127,0.0,0.9478654577466856,0.5
dataset_867_visualizing_livestock.csv,100,0.7388392857142857,0.5714285714285714,0.9370494015916986,0.7388392857142857
